id,from_actor,from_layer,to_actor,to_layer,dir
1,U107,lunch,U32,lunch,0
2,U107,lunch,U29,lunch,0
3,U109,lunch,U134,lunch,0
4,U109,lunch,U124,lunch,0
5,U109,lunch,U126,lunch,0
6,U109,lunch,U54,lunch,0
7,U109,lunch,U62,lunch,0
8,U109,lunch,U76,lunch,0
9,U109,lunch,U79,lunch,0
10,U109,lunch,U18,lunch,0
11,U109,lunch,U47,lunch,0
12,U109,lunch,U3,lunch,0
13,U10,lunch,U14,lunch,0
14,U10,lunch,U19,lunch,0
15,U10,lunch,U1,lunch,0
16,U109,lunch,U90,lunch,0
17,U109,lunch,U99,lunch,0
18,U110,lunch,U113,lunch,0
19,U110,lunch,U126,lunch,0
20,U110,lunch,U130,lunch,0
21,U110,lunch,U53,lunch,0
22,U110,lunch,U59,lunch,0
23,U110,lunch,U72,lunch,0
24,U110,lunch,U91,lunch,0
25,U112,lunch,U48,lunch,0
26,U112,lunch,U4,lunch,0
27,U102,lunch,U139,lunch,0
28,U102,lunch,U33,lunch,0
29,U106,lunch,U118,lunch,0
30,U106,lunch,U22,lunch,0
31,U106,lunch,U49,lunch,0
32,U106,lunch,U42,lunch,0
33,U106,lunch,U26,lunch,0
34,U106,lunch,U41,lunch,0
35,U107,lunch,U17,lunch,0
36,U106,lunch,U97,lunch,0
37,U123,lunch,U33,lunch,0
38,U113,lunch,U126,lunch,0
39,U112,lunch,U68,lunch,0
40,U113,lunch,U138,lunch,0
41,U113,lunch,U72,lunch,0
42,U113,lunch,U67,lunch,0
43,U118,lunch,U22,lunch,0
44,U118,lunch,U26,lunch,0
45,U118,lunch,U41,lunch,0
46,U118,lunch,U49,lunch,0
47,U118,lunch,U42,lunch,0
48,U124,lunch,U47,lunch,0
49,U123,lunch,U4,lunch,0
50,U123,lunch,U67,lunch,0
51,U123,lunch,U63,lunch,0
52,U123,lunch,U71,lunch,0
53,U123,lunch,U79,lunch,0
54,U124,lunch,U126,lunch,0
55,U130,lunch,U4,lunch,0
56,U124,lunch,U99,lunch,0
57,U126,lunch,U138,lunch,0
58,U126,lunch,U21,lunch,0
59,U126,lunch,U37,lunch,0
60,U126,lunch,U54,lunch,0
61,U126,lunch,U59,lunch,0
62,U126,lunch,U69,lunch,0
63,U126,lunch,U6,lunch,0
64,U126,lunch,U90,lunch,0
65,U126,lunch,U72,lunch,0
66,U126,lunch,U91,lunch,0
67,U126,lunch,U97,lunch,0
68,U130,lunch,U134,lunch,0
69,U130,lunch,U32,lunch,0
70,U13,lunch,U142,lunch,0
71,U13,lunch,U4,lunch,0
72,U130,lunch,U79,lunch,0
73,U130,lunch,U86,lunch,0
74,U134,lunch,U13,lunch,0
75,U134,lunch,U48,lunch,0
76,U134,lunch,U4,lunch,0
77,U134,lunch,U62,lunch,0
78,U134,lunch,U54,lunch,0
79,U134,lunch,U76,lunch,0
80,U134,lunch,U90,lunch,0
81,U134,lunch,U79,lunch,0
82,U134,lunch,U92,lunch,0
83,U134,lunch,U99,lunch,0
84,U138,lunch,U72,lunch,0
85,U14,lunch,U17,lunch,0
86,U14,lunch,U19,lunch,0
87,U14,lunch,U1,lunch,0
88,U14,lunch,U23,lunch,0
89,U14,lunch,U32,lunch,0
90,U14,lunch,U29,lunch,0
91,U14,lunch,U73,lunch,0
92,U17,lunch,U23,lunch,0
93,U17,lunch,U73,lunch,0
94,U17,lunch,U29,lunch,0
95,U17,lunch,U32,lunch,0
96,U18,lunch,U3,lunch,0
97,U18,lunch,U62,lunch,0
98,U18,lunch,U54,lunch,0
99,U18,lunch,U79,lunch,0
100,U18,lunch,U76,lunch,0
101,U18,lunch,U99,lunch,0
102,U18,lunch,U90,lunch,0
103,U19,lunch,U1,lunch,0
104,U19,lunch,U23,lunch,0
105,U19,lunch,U73,lunch,0
106,U1,lunch,U23,lunch,0
107,U1,lunch,U32,lunch,0
108,U1,lunch,U29,lunch,0
109,U1,lunch,U73,lunch,0
110,U141,lunch,U4,lunch,0
111,U141,lunch,U48,lunch,0
112,U141,lunch,U68,lunch,0
113,U141,lunch,U92,lunch,0
114,U142,lunch,U4,lunch,0
115,U42,lunch,U47,lunch,0
116,U41,lunch,U42,lunch,0
117,U42,lunch,U49,lunch,0
118,U47,lunch,U79,lunch,0
119,U47,lunch,U99,lunch,0
120,U48,lunch,U4,lunch,0
121,U48,lunch,U68,lunch,0
122,U48,lunch,U92,lunch,0
123,U21,lunch,U67,lunch,0
124,U21,lunch,U37,lunch,0
125,U21,lunch,U69,lunch,0
126,U22,lunch,U26,lunch,0
127,U21,lunch,U6,lunch,0
128,U21,lunch,U97,lunch,0
129,U22,lunch,U41,lunch,0
130,U22,lunch,U42,lunch,0
131,U22,lunch,U49,lunch,0
132,U23,lunch,U73,lunch,0
133,U26,lunch,U42,lunch,0
134,U26,lunch,U41,lunch,0
135,U26,lunch,U49,lunch,0
136,U29,lunch,U32,lunch,0
137,U32,lunch,U73,lunch,0
138,U33,lunch,U4,lunch,0
139,U37,lunch,U67,lunch,0
140,U33,lunch,U67,lunch,0
141,U33,lunch,U63,lunch,0
142,U33,lunch,U71,lunch,0
143,U37,lunch,U69,lunch,0
144,U37,lunch,U97,lunch,0
145,U37,lunch,U6,lunch,0
146,U3,lunch,U62,lunch,0
147,U3,lunch,U54,lunch,0
148,U3,lunch,U90,lunch,0
149,U3,lunch,U76,lunch,0
150,U3,lunch,U79,lunch,0
151,U68,lunch,U92,lunch,0
152,U69,lunch,U72,lunch,0
153,U69,lunch,U6,lunch,0
154,U69,lunch,U97,lunch,0
155,U6,lunch,U90,lunch,0
156,U6,lunch,U97,lunch,0
157,U71,lunch,U97,lunch,0
158,U72,lunch,U91,lunch,0
159,U4,lunch,U63,lunch,0
160,U4,lunch,U71,lunch,0
161,U4,lunch,U67,lunch,0
162,U4,lunch,U68,lunch,0
163,U4,lunch,U92,lunch,0
164,U53,lunch,U59,lunch,0
165,U4,lunch,U97,lunch,0
166,U53,lunch,U65,lunch,0
167,U53,lunch,U72,lunch,0
168,U53,lunch,U91,lunch,0
169,U54,lunch,U62,lunch,0
170,U54,lunch,U76,lunch,0
171,U54,lunch,U79,lunch,0
172,U54,lunch,U90,lunch,0
173,U59,lunch,U67,lunch,0
174,U59,lunch,U65,lunch,0
175,U59,lunch,U72,lunch,0
176,U59,lunch,U91,lunch,0
177,U62,lunch,U76,lunch,0
178,U62,lunch,U79,lunch,0
179,U63,lunch,U67,lunch,0
180,U62,lunch,U90,lunch,0
181,U63,lunch,U71,lunch,0
182,U65,lunch,U67,lunch,0
183,U63,lunch,U79,lunch,0
184,U65,lunch,U72,lunch,0
185,U65,lunch,U91,lunch,0
186,U67,lunch,U71,lunch,0
187,U67,lunch,U72,lunch,0
188,U67,lunch,U91,lunch,0
189,U76,lunch,U90,lunch,0
190,U76,lunch,U79,lunch,0
191,U76,lunch,U99,lunch,0
192,U79,lunch,U90,lunch,0
193,U79,lunch,U99,lunch,0
194,U107,facebook,U32,facebook,0
195,U107,facebook,U71,facebook,0
196,U107,facebook,U29,facebook,0
197,U109,facebook,U124,facebook,0
198,U109,facebook,U54,facebook,0
199,U109,facebook,U76,facebook,0
200,U109,facebook,U79,facebook,0
201,U109,facebook,U18,facebook,0
202,U109,facebook,U47,facebook,0
203,U10,facebook,U1,facebook,0
204,U10,facebook,U142,facebook,0
205,U10,facebook,U4,facebook,0
206,U10,facebook,U54,facebook,0
207,U110,facebook,U113,facebook,0
208,U10,facebook,U91,facebook,0
209,U110,facebook,U4,facebook,0
210,U110,facebook,U59,facebook,0
211,U110,facebook,U67,facebook,0
212,U110,facebook,U142,facebook,0
213,U110,facebook,U32,facebook,0
214,U110,facebook,U71,facebook,0
215,U110,facebook,U79,facebook,0
216,U112,facebook,U65,facebook,0
217,U110,facebook,U91,facebook,0
218,U106,facebook,U107,facebook,0
219,U106,facebook,U123,facebook,0
220,U106,facebook,U1,facebook,0
221,U106,facebook,U21,facebook,0
222,U106,facebook,U32,facebook,0
223,U106,facebook,U29,facebook,0
224,U106,facebook,U59,facebook,0
225,U107,facebook,U124,facebook,0
226,U123,facebook,U130,facebook,0
227,U123,facebook,U142,facebook,0
228,U123,facebook,U32,facebook,0
229,U112,facebook,U76,facebook,0
230,U113,facebook,U59,facebook,0
231,U113,facebook,U67,facebook,0
232,U113,facebook,U65,facebook,0
233,U113,facebook,U69,facebook,0
234,U113,facebook,U91,facebook,0
235,U124,facebook,U134,facebook,0
236,U124,facebook,U130,facebook,0
237,U124,facebook,U18,facebook,0
238,U124,facebook,U47,facebook,0
239,U124,facebook,U3,facebook,0
240,U124,facebook,U54,facebook,0
241,U124,facebook,U69,facebook,0
242,U124,facebook,U6,facebook,0
243,U123,facebook,U42,facebook,0
244,U123,facebook,U47,facebook,0
245,U123,facebook,U49,facebook,0
246,U123,facebook,U4,facebook,0
247,U123,facebook,U67,facebook,0
248,U123,facebook,U71,facebook,0
249,U123,facebook,U91,facebook,0
250,U130,facebook,U3,facebook,0
251,U130,facebook,U47,facebook,0
252,U130,facebook,U4,facebook,0
253,U124,facebook,U79,facebook,0
254,U124,facebook,U76,facebook,0
255,U124,facebook,U91,facebook,0
256,U130,facebook,U134,facebook,0
257,U130,facebook,U142,facebook,0
258,U130,facebook,U18,facebook,0
259,U130,facebook,U32,facebook,0
260,U130,facebook,U67,facebook,0
261,U130,facebook,U76,facebook,0
262,U130,facebook,U79,facebook,0
263,U142,facebook,U91,facebook,0
264,U142,facebook,U79,facebook,0
265,U18,facebook,U54,facebook,0
266,U18,facebook,U3,facebook,0
267,U18,facebook,U47,facebook,0
268,U18,facebook,U76,facebook,0
269,U18,facebook,U79,facebook,0
270,U1,facebook,U29,facebook,0
271,U1,facebook,U32,facebook,0
272,U1,facebook,U71,facebook,0
273,U1,facebook,U79,facebook,0
274,U142,facebook,U42,facebook,0
275,U142,facebook,U47,facebook,0
276,U142,facebook,U4,facebook,0
277,U142,facebook,U67,facebook,0
278,U142,facebook,U54,facebook,0
279,U42,facebook,U49,facebook,0
280,U42,facebook,U79,facebook,0
281,U47,facebook,U54,facebook,0
282,U47,facebook,U4,facebook,0
283,U47,facebook,U76,facebook,0
284,U47,facebook,U79,facebook,0
285,U4,facebook,U54,facebook,0
286,U21,facebook,U67,facebook,0
287,U21,facebook,U69,facebook,0
288,U21,facebook,U6,facebook,0
289,U29,facebook,U32,facebook,0
290,U32,facebook,U67,facebook,0
291,U32,facebook,U4,facebook,0
292,U29,facebook,U91,facebook,0
293,U32,facebook,U71,facebook,0
294,U32,facebook,U91,facebook,0
295,U3,facebook,U54,facebook,0
296,U3,facebook,U47,facebook,0
297,U3,facebook,U76,facebook,0
298,U3,facebook,U79,facebook,0
299,U67,facebook,U91,facebook,0
300,U69,facebook,U6,facebook,0
301,U69,facebook,U91,facebook,0
302,U71,facebook,U79,facebook,0
303,U4,facebook,U67,facebook,0
304,U4,facebook,U71,facebook,0
305,U4,facebook,U76,facebook,0
306,U4,facebook,U91,facebook,0
307,U54,facebook,U76,facebook,0
308,U54,facebook,U79,facebook,0
309,U59,facebook,U67,facebook,0
310,U59,facebook,U91,facebook,0
311,U65,facebook,U91,facebook,0
312,U65,facebook,U79,facebook,0
313,U67,facebook,U69,facebook,0
314,U67,facebook,U6,facebook,0
315,U67,facebook,U71,facebook,0
316,U76,facebook,U79,facebook,0
317,U79,facebook,U91,facebook,0
318,U10,coauthor,U1,coauthor,0
319,U110,coauthor,U53,coauthor,0
320,U110,coauthor,U138,coauthor,0
321,U110,coauthor,U91,coauthor,0
322,U110,coauthor,U97,coauthor,0
323,U106,coauthor,U118,coauthor,0
324,U118,coauthor,U41,coauthor,0
325,U130,coauthor,U47,coauthor,0
326,U130,coauthor,U134,coauthor,0
327,U130,coauthor,U18,coauthor,0
328,U13,coauthor,U48,coauthor,0
329,U130,coauthor,U76,coauthor,0
330,U130,coauthor,U99,coauthor,0
331,U142,coauthor,U68,coauthor,0
332,U18,coauthor,U76,coauthor,0
333,U47,coauthor,U99,coauthor,0
334,U22,coauthor,U26,coauthor,0
335,U29,coauthor,U32,coauthor,0
336,U72,coauthor,U91,coauthor,0
337,U53,coauthor,U72,coauthor,0
338,U53,coauthor,U91,coauthor,0
339,U107,leisure,U32,leisure,0
340,U107,leisure,U91,leisure,0
341,U109,leisure,U126,leisure,0
342,U109,leisure,U54,leisure,0
343,U109,leisure,U76,leisure,0
344,U109,leisure,U90,leisure,0
345,U10,leisure,U142,leisure,0
346,U10,leisure,U1,leisure,0
347,U10,leisure,U13,leisure,0
348,U110,leisure,U113,leisure,0
349,U110,leisure,U126,leisure,0
350,U10,leisure,U37,leisure,0
351,U10,leisure,U54,leisure,0
352,U10,leisure,U73,leisure,0
353,U110,leisure,U59,leisure,0
354,U110,leisure,U65,leisure,0
355,U110,leisure,U67,leisure,0
356,U110,leisure,U138,leisure,0
357,U110,leisure,U91,leisure,0
358,U106,leisure,U118,leisure,0
359,U106,leisure,U41,leisure,0
360,U107,leisure,U17,leisure,0
361,U113,leisure,U138,leisure,0
362,U113,leisure,U65,leisure,0
363,U113,leisure,U91,leisure,0
364,U118,leisure,U41,leisure,0
365,U124,leisure,U18,leisure,0
366,U124,leisure,U126,leisure,0
367,U124,leisure,U99,leisure,0
368,U124,leisure,U91,leisure,0
369,U126,leisure,U21,leisure,0
370,U126,leisure,U29,leisure,0
371,U126,leisure,U54,leisure,0
372,U126,leisure,U69,leisure,0
373,U126,leisure,U90,leisure,0
374,U126,leisure,U91,leisure,0
375,U138,leisure,U91,leisure,0
376,U138,leisure,U72,leisure,0
377,U142,leisure,U68,leisure,0
378,U14,leisure,U17,leisure,0
379,U14,leisure,U19,leisure,0
380,U14,leisure,U1,leisure,0
381,U14,leisure,U23,leisure,0
382,U14,leisure,U73,leisure,0
383,U17,leisure,U23,leisure,0
384,U17,leisure,U73,leisure,0
385,U17,leisure,U91,leisure,0
386,U18,leisure,U62,leisure,0
387,U18,leisure,U76,leisure,0
388,U18,leisure,U99,leisure,0
389,U19,leisure,U23,leisure,0
390,U19,leisure,U73,leisure,0
391,U1,leisure,U23,leisure,0
392,U1,leisure,U26,leisure,0
393,U1,leisure,U73,leisure,0
394,U141,leisure,U68,leisure,0
395,U142,leisure,U37,leisure,0
396,U142,leisure,U42,leisure,0
397,U3,leisure,U90,leisure,0
398,U42,leisure,U49,leisure,0
399,U42,leisure,U79,leisure,0
400,U47,leisure,U76,leisure,0
401,U22,leisure,U42,leisure,0
402,U23,leisure,U73,leisure,0
403,U29,leisure,U32,leisure,0
404,U3,leisure,U54,leisure,0
405,U69,leisure,U91,leisure,0
406,U6,leisure,U90,leisure,0
407,U72,leisure,U91,leisure,0
408,U73,leisure,U79,leisure,0
409,U4,leisure,U67,leisure,0
410,U53,leisure,U91,leisure,0
411,U54,leisure,U76,leisure,0
412,U54,leisure,U79,leisure,0
413,U54,leisure,U90,leisure,0
414,U54,leisure,U91,leisure,0
415,U59,leisure,U65,leisure,0
416,U59,leisure,U91,leisure,0
417,U59,leisure,U72,leisure,0
418,U62,leisure,U76,leisure,0
419,U65,leisure,U72,leisure,0
420,U65,leisure,U79,leisure,0
421,U65,leisure,U91,leisure,0
422,U76,leisure,U79,leisure,0
423,U76,leisure,U90,leisure,0
424,U79,leisure,U90,leisure,0
425,U79,leisure,U99,leisure,0
426,U90,leisure,U91,leisure,0
427,U107,work,U32,work,0
428,U107,work,U71,work,0
429,U107,work,U29,work,0
430,U109,work,U130,work,0
431,U107,work,U86,work,0
432,U109,work,U54,work,0
433,U109,work,U62,work,0
434,U10,work,U14,work,0
435,U10,work,U19,work,0
436,U10,work,U1,work,0
437,U10,work,U130,work,0
438,U10,work,U139,work,0
439,U110,work,U113,work,0
440,U110,work,U123,work,0
441,U110,work,U126,work,0
442,U10,work,U23,work,0
443,U10,work,U73,work,0
444,U110,work,U33,work,0
445,U110,work,U53,work,0
446,U110,work,U59,work,0
447,U110,work,U138,work,0
448,U110,work,U26,work,0
449,U110,work,U32,work,0
450,U110,work,U71,work,0
451,U110,work,U72,work,0
452,U110,work,U79,work,0
453,U110,work,U91,work,0
454,U112,work,U4,work,0
455,U110,work,U67,work,0
456,U106,work,U118,work,0
457,U106,work,U123,work,0
458,U106,work,U41,work,0
459,U106,work,U26,work,0
460,U107,work,U17,work,0
461,U107,work,U139,work,0
462,U118,work,U90,work,0
463,U118,work,U67,work,0
464,U118,work,U71,work,0
465,U123,work,U124,work,0
466,U118,work,U97,work,0
467,U123,work,U139,work,0
468,U123,work,U130,work,0
469,U123,work,U142,work,0
470,U123,work,U17,work,0
471,U123,work,U18,work,0
472,U123,work,U22,work,0
473,U123,work,U26,work,0
474,U112,work,U68,work,0
475,U113,work,U138,work,0
476,U113,work,U67,work,0
477,U118,work,U123,work,0
478,U113,work,U91,work,0
479,U118,work,U26,work,0
480,U118,work,U33,work,0
481,U118,work,U41,work,0
482,U124,work,U130,work,0
483,U124,work,U1,work,0
484,U124,work,U4,work,0
485,U123,work,U3,work,0
486,U123,work,U33,work,0
487,U123,work,U42,work,0
488,U123,work,U47,work,0
489,U123,work,U49,work,0
490,U123,work,U4,work,0
491,U123,work,U62,work,0
492,U123,work,U54,work,0
493,U123,work,U63,work,0
494,U123,work,U67,work,0
495,U123,work,U71,work,0
496,U123,work,U79,work,0
497,U123,work,U76,work,0
498,U123,work,U90,work,0
499,U123,work,U97,work,0
500,U123,work,U99,work,0
501,U130,work,U32,work,0
502,U130,work,U47,work,0
503,U126,work,U67,work,0
504,U126,work,U69,work,0
505,U130,work,U134,work,0
506,U130,work,U1,work,0
507,U130,work,U18,work,0
508,U130,work,U26,work,0
509,U139,work,U14,work,0
510,U138,work,U91,work,0
511,U139,work,U1,work,0
512,U139,work,U26,work,0
513,U139,work,U29,work,0
514,U139,work,U19,work,0
515,U139,work,U67,work,0
516,U139,work,U71,work,0
517,U139,work,U97,work,0
518,U13,work,U48,work,0
519,U13,work,U4,work,0
520,U13,work,U92,work,0
521,U13,work,U54,work,0
522,U130,work,U4,work,0
