id,from_actor,from_layer,to_actor,to_layer,dir
1,Castellani,business,Peruzzi,business,0
2,Castellani,business,Lamberteschi,business,0
3,Bischeri,business,Peruzzi,business,0
4,Bischeri,business,Lamberteschi,business,0
5,Bischeri,business,Guadagni,business,0
6,Barbadori,business,Castellani,business,0
7,Barbadori,business,Medici,business,0
8,Barbadori,business,Peruzzi,business,0
9,Barbadori,business,Ginori,business,0
10,Lamberteschi,business,Peruzzi,business,0
11,Medici,business,Tornabuoni,business,0
12,Medici,business,Salviati,business,0
13,Medici,business,Pazzi,business,0
14,Guadagni,business,Lamberteschi,business,0
15,Ginori,business,Medici,business,0
16,Castellani,marriage,Peruzzi,marriage,0
17,Bischeri,marriage,Strozzi,marriage,0
18,Bischeri,marriage,Peruzzi,marriage,0
19,Bischeri,marriage,Guadagni,marriage,0
20,Barbadori,marriage,Medici,marriage,0
21,Barbadori,marriage,Castellani,marriage,0
22,Albizzi,marriage,Medici,marriage,0
23,Albizzi,marriage,Ginori,marriage,0
24,Albizzi,marriage,Guadagni,marriage,0
25,Acciaiuoli,marriage,Medici,marriage,0
26,Ridolfi,marriage,Tornabuoni,marriage,0
27,Medici,marriage,Tornabuoni,marriage,0
28,Ridolfi,marriage,Strozzi,marriage,0
29,Pazzi,marriage,Salviati,marriage,0
30,Peruzzi,marriage,Strozzi,marriage,0
31,Medici,marriage,Ridolfi,marriage,0
32,Medici,marriage,Salviati,marriage,0
33,Guadagni,marriage,Tornabuoni,marriage,0
34,Guadagni,marriage,Lamberteschi,marriage,0
35,Castellani,marriage,Strozzi,marriage,0
